,fname,image_height,image_width,start_x,start_y,end_x,end_y,detect_conf,mask,withoutMask
69,1333.jpg,682,1024,69,545,90,580,0,0.9332086,0.066791415
70,1333.jpg,682,1024,962,501,978,525,0,0.062394816,0.93760514
71,1333.jpg,682,1024,173,429,184,446,0,0.8500151,0.14998487
72,1333.jpg,682,1024,24,506,44,540,0,0.21203531,0.78796476
73,1333.jpg,682,1024,35,425,46,445,0,0.95935845,0.040641624
74,1333.jpg,682,1024,61,433,74,456,0,0.27839205,0.72160786
75,1856.jpg,543,742,406,236,454,284,0,0.8673911,0.13260892
76,1856.jpg,543,742,74,143,93,166,0,0.06138951,0.9386105
77,1856.jpg,543,742,313,234,381,317,0,0.5159042,0.4840958
78,1856.jpg,543,742,15,183,62,235,0,0.9913886,0.008611428
79,1856.jpg,543,742,119,187,151,225,0,0.99803346,0.001966566
80,1856.jpg,543,742,265,160,285,187,0,0.46031186,0.5396882
81,1856.jpg,543,742,689,151,703,170,0,0.95084375,0.04915621
82,1856.jpg,543,742,384,153,404,176,0,0.11862351,0.88137645
83,1856.jpg,543,742,661,163,679,182,0,0.5679498,0.43205017
84,1856.jpg,543,742,424,115,474,198,0,0.99996185,3.8092134e-05
85,1856.jpg,543,742,720,150,729,165,0,0.7156851,0.28431484
86,1856.jpg,543,742,487,206,518,239,0,0.16349448,0.83650553
87,1856.jpg,543,742,582,142,590,156,0,0.5775496,0.42245048
88,1856.jpg,543,742,162,148,176,165,0,0.2943589,0.70564103
89,1856.jpg,543,742,305,141,319,157,0,0.2794181,0.7205819
90,1856.jpg,543,742,718,140,725,150,0,0.7265584,0.27344158
91,1856.jpg,543,742,380,137,388,147,0,0.21487184,0.7851282
92,4015.jpg,3368,3816,1976,1082,2192,1355,0,0.9999807,1.9276793e-05
93,4015.jpg,3368,3816,799,1000,1036,1337,0,0.999962,3.806265e-05
94,4015.jpg,3368,3816,2771,593,3071,1009,0,0.99994516,5.4881373e-05
95,4015.jpg,3368,3816,9,2319,93,2424,0,0.0019319998,0.99806803
96,4015.jpg,3368,3816,1721,6,1826,106,0,0.9987853,0.0012147051
97,3174.jpg,352,512,198,116,218,149,0,0.99927384,0.00072616705
98,3174.jpg,352,512,147,94,181,143,0,0.6920056,0.30799437
99,3174.jpg,352,512,388,123,403,138,0,0.13089477,0.8691052
100,3174.jpg,352,512,353,103,361,114,0,0.6697837,0.33021623
101,3174.jpg,352,512,337,114,348,132,0,0.95260876,0.04739119
102,3174.jpg,352,512,453,98,461,112,0,0.6196412,0.3803588
103,559.jpg,640,960,241,279,269,312,0,0.0025756988,0.99742436
104,559.jpg,640,960,588,275,610,302,0,0.0014243603,0.9985757
105,559.jpg,640,960,503,249,533,288,0,0.0022202707,0.9977798
106,559.jpg,640,960,625,280,650,319,0,0.0016060263,0.99839395
107,559.jpg,640,960,315,277,340,310,0,0.08864568,0.9113543
108,559.jpg,640,960,803,303,818,323,0,0.92256695,0.077433
109,559.jpg,640,960,847,297,859,311,0,0.50712854,0.49287143
110,559.jpg,640,960,895,335,903,346,0,0.18501393,0.8149861
111,559.jpg,640,960,770,332,779,343,0,0.2833802,0.7166198
112,559.jpg,640,960,272,288,282,302,0,0.6470226,0.3529774
113,559.jpg,640,960,434,295,452,325,0,0.5780001,0.42199987
114,559.jpg,640,960,709,328,715,336,0,0.41163838,0.5883616
115,559.jpg,640,960,861,351,869,362,0,0.08791184,0.91208816
116,559.jpg,640,960,370,308,377,317,0,0.15851271,0.8414872
117,559.jpg,640,960,730,325,738,334,0,0.45641068,0.5435893
118,1138.jpg,1000,1500,1153,67,1306,297,0,9.8964265e-06,0.9999901
119,1138.jpg,1000,1500,824,318,930,457,0,0.054247346,0.9457527
120,479.jpg,667,1000,791,253,822,320,0,0.11635009,0.88364995
121,479.jpg,667,1000,673,252,700,311,0,0.017258413,0.98274165
122,455.jpg,640,960,426,444,510,545,0,0.9967933,0.0032066798
123,455.jpg,640,960,758,379,799,427,0,0.980966,0.019034056
124,455.jpg,640,960,487,328,512,356,0,0.98457885,0.015421178
125,455.jpg,640,960,12,452,55,529,0,0.9700429,0.029957088
126,455.jpg,640,960,544,402,614,497,0,0.9947184,0.0052815992
127,455.jpg,640,960,374,333,395,357,0,0.13753846,0.86246157
128,455.jpg,640,960,700,366,726,398,0,0.59332675,0.40667322
129,455.jpg,640,960,470,380,513,420,0,0.9914691,0.008530898
130,455.jpg,640,960,345,315,364,337,0,0.69493675,0.30506322
131,455.jpg,640,960,448,343,469,378,0,0.049982432,0.95001763
132,455.jpg,640,960,310,360,328,386,0,0.15689345,0.8431066
133,455.jpg,640,960,553,300,565,316,0,0.28624508,0.7137549
134,455.jpg,640,960,574,330,593,355,0,0.1103447,0.8896553
135,455.jpg,640,960,295,319,311,342,0,0.50659865,0.49340135
136,455.jpg,640,960,392,294,403,307,0,0.9639729,0.03602704
137,455.jpg,640,960,409,305,426,329,0,0.8553771,0.14462294
138,455.jpg,640,960,377,300,389,313,0,0.07701746,0.9229825
139,455.jpg,640,960,210,484,272,601,0,0.9973356,0.0026644166
140,455.jpg,640,960,446,290,453,299,0,0.70854414,0.29145586
141,455.jpg,640,960,479,296,487,306,0,0.8529846,0.1470154
142,455.jpg,640,960,568,305,580,323,0,0.62252957,0.37747043
143,455.jpg,640,960,438,307,449,324,0,0.86352533,0.13647467
144,455.jpg,640,960,627,370,659,424,0,0.5978045,0.40219548
145,3964.jpg,637,1000,379,78,427,144,0,0.99910885,0.0008911263
146,3964.jpg,637,1000,783,95,831,160,0,0.99951434,0.00048565347
147,3964.jpg,637,1000,664,122,709,180,0,0.9999151,8.4917054e-05
148,3964.jpg,637,1000,267,139,314,196,0,0.99794227,0.00205777
149,3964.jpg,637,1000,150,122,202,196,0,0.9999809,1.9023095e-05
150,3964.jpg,637,1000,198,174,219,200,0,0.8884327,0.11156731
151,3964.jpg,637,1000,32,256,51,293,0,0.08857497,0.911425
152,3964.jpg,637,1000,212,148,216,153,0,0.5444388,0.4555612
153,767.jpg,469,680,509,149,576,255,0,0.9998,0.00020002626
154,767.jpg,469,680,138,87,232,200,0,0.9998629,0.00013703818
155,767.jpg,469,680,406,153,417,166,0,0.22852029,0.77147967
156,2422.jpg,270,480,198,125,218,150,0,0.020116594,0.9798834
157,2422.jpg,270,480,112,156,130,187,0,0.06993592,0.9300641
158,3294.jpg,363,550,114,74,176,156,0,0.018684682,0.9813153
159,3294.jpg,363,550,254,10,317,88,0,0.0012519867,0.99874794
160,3758.jpg,315,600,308,61,339,101,0,0.034051843,0.96594816
161,3758.jpg,315,600,198,27,228,79,0,0.46629173,0.5337083
162,3758.jpg,315,600,270,73,281,93,0,0.5794001,0.42059988
163,3758.jpg,315,600,518,220,528,235,0,0.43437794,0.5656221
164,3758.jpg,315,600,506,214,514,224,0,0.21146938,0.78853065
165,32.jpg,500,750,347,248,373,270,0,0.26179183,0.7382082
166,32.jpg,500,750,177,237,186,247,0,0.6894721,0.31052798
167,32.jpg,500,750,327,205,335,215,0,0.6908521,0.30914786
168,246.jpg,405,650,290,176,325,219,0,0.8372526,0.16274735
169,246.jpg,405,650,405,171,439,215,0,0.9995447,0.00045526575
170,246.jpg,405,650,111,31,158,109,0,0.9999305,6.953981e-05
171,246.jpg,405,650,271,114,297,146,0,0.9960359,0.003964113
172,246.jpg,405,650,204,117,237,167,0,0.899633,0.100367054
173,246.jpg,405,650,376,186,385,197,0,0.63783413,0.36216593
174,246.jpg,405,650,583,69,629,123,0,0.98072827,0.01927177
175,246.jpg,405,650,497,57,526,107,0,0.9928229,0.0071771266
176,246.jpg,405,650,139,136,147,146,0,0.6435501,0.3564499
177,246.jpg,405,650,507,146,513,154,0,0.24216822,0.75783175
178,246.jpg,405,650,242,137,248,145,0,0.41213223,0.5878678
179,246.jpg,405,650,6,126,12,135,0,0.35219347,0.6478065
180,4000.jpg,401,600,9,189,26,210,0,0.07677108,0.92322886
181,4000.jpg,401,600,454,230,461,239,0,0.71497995,0.28502008
182,3770.jpg,445,665,465,135,482,155,0,0.29537606,0.7046239
183,3770.jpg,445,665,165,185,196,224,0,0.98409915,0.015900778
184,3770.jpg,445,665,548,86,553,93,0,0.35315976,0.6468403
185,3770.jpg,445,665,340,115,349,125,0,0.21290964,0.7870903
186,3770.jpg,445,665,623,84,629,92,0,0.3196513,0.6803487
187,3770.jpg,445,665,470,99,479,110,0,0.34842306,0.6515769
188,3770.jpg,445,665,234,111,247,127,0,0.55493015,0.44506982
189,3770.jpg,445,665,591,92,596,98,0,0.4820701,0.51793
190,3770.jpg,445,665,261,105,271,120,0,0.23867394,0.7613261
191,3770.jpg,445,665,484,139,499,157,0,0.30314702,0.696853
192,3770.jpg,445,665,574,91,579,97,0,0.43207932,0.5679207
193,396.jpg,900,1200,394,202,502,332,0,0.9995178,0.00048216738
194,396.jpg,900,1200,747,220,864,382,0,0.9999305,6.944723e-05
195,396.jpg,900,1200,159,271,189,309,0,0.46086717,0.53913283
196,396.jpg,900,1200,506,204,535,242,0,0.90530306,0.094696954
197,396.jpg,900,1200,610,199,644,244,0,0.8700118,0.12998816
198,396.jpg,900,1200,18,244,44,275,0,0.9958675,0.0041324683
199,396.jpg,900,1200,584,185,607,214,0,0.20584424,0.7941558
200,1829.jpg,683,1024,808,381,855,441,0,0.99877936,0.0012206662
201,1829.jpg,683,1024,679,372,724,431,0,0.6771555,0.32284454
202,1829.jpg,683,1024,423,394,466,449,0,0.99151856,0.008481384
203,1829.jpg,683,1024,543,375,586,430,0,0.99937147,0.0006284961
204,1829.jpg,683,1024,530,276,563,315,0,0.9412712,0.058728814
205,1829.jpg,683,1024,489,293,533,352,0,0.93272835,0.06727163
206,1829.jpg,683,1024,304,417,346,472,0,0.9343625,0.06563755
207,1829.jpg,683,1024,643,234,674,274,0,0.92259437,0.07740563
208,1829.jpg,683,1024,214,389,256,443,0,0.9934916,0.006508347
209,1829.jpg,683,1024,305,314,344,376,0,0.108887665,0.8911123
210,1829.jpg,683,1024,447,212,475,248,0,0.1466462,0.8533538
211,1829.jpg,683,1024,488,242,521,282,0,0.31511185,0.6848881
212,1829.jpg,683,1024,610,232,635,262,0,0.9012824,0.098717526
213,1829.jpg,683,1024,590,282,625,321,0,0.79934746,0.2006526
214,1829.jpg,683,1024,719,206,739,231,0,0.13257413,0.8674258
215,1829.jpg,683,1024,702,275,729,314,0,0.33378872,0.6662113
216,1829.jpg,683,1024,338,293,370,341,0,0.5989527,0.40104735
217,1829.jpg,683,1024,548,224,562,240,0,0.14273119,0.85726887
218,1829.jpg,683,1024,530,235,557,267,0,0.39790708,0.60209286
219,1829.jpg,683,1024,521,210,542,235,0,0.3465672,0.6534328
220,1829.jpg,683,1024,370,245,396,284,0,0.33477208,0.66522795
221,1829.jpg,683,1024,687,236,718,270,0,0.7388775,0.26112255
222,1829.jpg,683,1024,288,242,312,279,0,0.61544716,0.38455278
223,1829.jpg,683,1024,432,217,447,238,0,0.06431616,0.93568385
224,1829.jpg,683,1024,375,215,395,238,0,0.05781335,0.94218665
225,1829.jpg,683,1024,315,257,340,284,0,0.09769243,0.90230757
226,1829.jpg,683,1024,634,225,651,247,0,0.35209063,0.64790934
227,1829.jpg,683,1024,602,214,622,237,0,0.47035265,0.5296473
228,1829.jpg,683,1024,591,220,604,238,0,0.06554344,0.9344565
229,1829.jpg,683,1024,582,254,607,285,0,0.6881926,0.31180742
230,1829.jpg,683,1024,671,220,687,240,0,0.28350133,0.7164987
231,1829.jpg,683,1024,749,231,768,254,0,0.04839212,0.9516079
232,1829.jpg,683,1024,341,231,355,252,0,0.03982664,0.9601733
233,547.jpg,432,660,374,73,454,169,0,0.9724435,0.027556513
234,547.jpg,432,660,251,104,284,136,0,0.11888125,0.8811187
235,2463.jpg,276,414,295,115,306,128,0,0.6542971,0.34570286
236,2463.jpg,276,414,83,116,96,131,0,0.60426575,0.39573422
237,2463.jpg,276,414,259,112,269,125,0,0.63653046,0.36346957
238,2463.jpg,276,414,161,115,173,128,0,0.7456177,0.25438234
239,2463.jpg,276,414,234,121,244,133,0,0.44751176,0.55248827
240,2463.jpg,276,414,183,128,193,141,0,0.7621313,0.23786877
241,2463.jpg,276,414,55,122,68,138,0,0.6064636,0.3935364
242,2463.jpg,276,414,209,127,220,139,0,0.58330756,0.41669244
243,2463.jpg,276,414,321,124,333,137,0,0.14620079,0.8537992
244,2463.jpg,276,414,129,118,139,131,0,0.6054703,0.39452967
245,2463.jpg,276,414,357,124,368,136,0,0.56699497,0.433005
246,3483.jpg,510,680,221,218,237,239,0,0.76684517,0.23315482
247,3483.jpg,510,680,446,228,461,248,0,0.98567986,0.014320127
248,3483.jpg,510,680,310,245,330,274,0,0.53937626,0.4606238
249,3483.jpg,510,680,26,245,52,278,0,0.45268175,0.5473183
250,3483.jpg,510,680,329,230,340,243,0,0.90465677,0.09534328
251,3483.jpg,510,680,486,286,503,316,0,0.9794779,0.020522078
252,3483.jpg,510,680,568,206,577,214,0,0.39233825,0.60766166
253,3173.jpg,374,512,127,81,147,106,0,0.65912443,0.34087554
254,3173.jpg,374,512,217,101,255,142,0,0.9999739,2.6134654e-05
255,3173.jpg,374,512,276,162,319,205,0,0.9998061,0.00019397
256,581.jpg,334,499,181,151,220,174,0,0.7000964,0.29990357
257,581.jpg,334,499,127,194,160,234,0,2.7176025e-06,0.99999726
258,581.jpg,334,499,287,169,312,202,0,0.008080018,0.99192
259,581.jpg,334,499,7,223,54,259,0,0.033574045,0.96642596
260,581.jpg,334,499,436,178,467,203,0,0.9098873,0.09011268
261,581.jpg,334,499,313,162,327,187,0,0.64910805,0.35089195
262,255.jpg,544,817,717,172,756,218,0,0.6606818,0.33931822
263,255.jpg,544,817,354,148,412,218,0,0.68078816,0.3192118
264,255.jpg,544,817,631,173,657,205,0,0.9475624,0.05243762
265,255.jpg,544,817,415,162,444,198,0,0.78645515,0.21354488
266,255.jpg,544,817,40,175,71,214,0,0.70587033,0.29412967
267,255.jpg,544,817,774,192,805,228,0,0.1302408,0.86975914
268,255.jpg,544,817,235,181,267,222,0,0.25315517,0.7468448
269,3214.jpg,768,1024,747,450,800,515,0,0.017115967,0.9828841
270,3214.jpg,768,1024,861,113,886,149,0,0.035119493,0.96488047
271,3859.jpg,374,665,135,114,173,161,0,0.99965334,0.00034664664
272,3859.jpg,374,665,567,145,573,152,0,0.5290992,0.47090077
273,3859.jpg,374,665,392,16,399,25,0,0.072378345,0.92762166
274,2752.jpg,534,800,468,96,554,225,0,0.0009222422,0.9990778
275,2752.jpg,534,800,224,134,247,161,0,0.10266169,0.8973384
276,2752.jpg,534,800,341,124,372,165,0,0.039187435,0.9608126
277,2752.jpg,534,800,297,103,314,125,0,0.21326034,0.7867397
278,2752.jpg,534,800,55,114,67,132,0,0.04456058,0.9554394
279,2752.jpg,534,800,197,130,207,145,0,0.116712585,0.88328743
280,2752.jpg,534,800,437,135,454,164,0,0.026557691,0.9734423
281,2752.jpg,534,800,163,425,207,485,0,0.005307964,0.994692
282,133.jpg,566,850,71,299,112,341,0,0.635359,0.36464104
283,133.jpg,566,850,327,284,354,314,0,0.6089776,0.39102238
284,133.jpg,566,850,633,299,662,332,0,0.8650793,0.13492067
285,133.jpg,566,850,421,274,450,308,0,0.97386557,0.026134415
286,133.jpg,566,850,79,136,113,177,0,5.2184045e-05,0.9999478
287,133.jpg,566,850,624,189,648,221,0,0.98980683,0.0101932045
288,133.jpg,566,850,158,316,179,343,0,0.7045481,0.29545188
289,133.jpg,566,850,527,302,555,336,0,0.9806654,0.01933455
290,133.jpg,566,850,213,280,243,318,0,0.9561225,0.043877408
291,133.jpg,566,850,823,317,851,358,0,0.99660516,0.0033947935
292,3464.jpg,403,660,151,289,159,299,0,0.78186923,0.2181307
293,3464.jpg,403,660,43,295,51,306,0,0.4870009,0.51299906
294,1141.jpg,376,600,375,177,392,196,0,0.14607859,0.8539214
295,1141.jpg,376,600,247,168,260,185,0,0.27852112,0.7214789
296,1141.jpg,376,600,575,194,593,214,0,0.818017,0.18198298
297,1141.jpg,376,600,110,160,118,169,0,0.3155315,0.68446845
298,1141.jpg,376,600,433,151,439,160,0,0.4802849,0.5197151
299,1141.jpg,376,600,584,170,598,184,0,0.28362778,0.71637225
300,1141.jpg,376,600,13,142,22,154,0,0.29022783,0.70977217
301,1141.jpg,376,600,363,154,370,164,0,0.32244572,0.6775543
302,654.jpg,578,850,51,306,94,355,0,0.011594903,0.9884051
303,654.jpg,578,850,616,77,628,92,0,0.8034372,0.19656286
304,654.jpg,578,850,521,193,558,234,0,0.14801995,0.8519801
305,654.jpg,578,850,550,71,567,84,0,0.13681264,0.86318743
306,654.jpg,578,850,303,118,321,138,0,0.81935066,0.18064933
307,654.jpg,578,850,165,151,205,201,0,0.48945132,0.5105487
308,654.jpg,578,850,152,72,165,90,0,0.51886517,0.48113486
309,654.jpg,578,850,466,242,494,261,0,0.35640696,0.6435931
310,654.jpg,578,850,334,59,346,74,0,0.007932367,0.9920676
311,654.jpg,578,850,376,315,389,335,0,0.292443,0.70755696
312,654.jpg,578,850,380,56,391,70,0,0.6237044,0.37629566
313,654.jpg,578,850,208,89,224,109,0,0.36733675,0.6326632
314,654.jpg,578,850,550,47,563,63,0,0.3654264,0.63457364
315,654.jpg,578,850,386,125,404,139,0,0.08198855,0.9180115
316,654.jpg,578,850,293,86,306,102,0,0.2857102,0.7142898
317,654.jpg,578,850,77,65,92,81,0,0.20958105,0.7904189
318,654.jpg,578,850,770,129,805,159,0,0.44352704,0.55647296
319,654.jpg,578,850,69,22,79,34,0,0.5204532,0.47954676
320,3245.jpg,744,940,695,79,801,233,0,0.9999844,1.5586527e-05
321,3245.jpg,744,940,121,218,214,328,0,0.99957937,0.00042066927
322,3219.jpg,443,665,217,197,234,217,0,0.020325953,0.97967404
323,3219.jpg,443,665,421,161,431,174,0,0.53652656,0.46347347
324,3219.jpg,443,665,410,211,428,238,0,0.31686267,0.6831373
325,3219.jpg,443,665,267,197,282,216,0,0.19845703,0.80154294
326,3219.jpg,443,665,56,292,81,337,0,0.85482204,0.14517796
327,3219.jpg,443,665,234,178,245,192,0,0.74298525,0.25701472
328,3219.jpg,443,665,113,227,144,256,0,0.10451534,0.8954846
329,3219.jpg,443,665,238,217,252,243,0,0.19210185,0.80789816
330,3219.jpg,443,665,14,196,27,209,0,0.4612965,0.5387035
331,3219.jpg,443,665,327,165,335,177,0,0.661178,0.33882198
332,3219.jpg,443,665,433,179,445,192,0,0.3124763,0.6875238
333,3219.jpg,443,665,394,143,400,150,0,0.80670244,0.1932976
334,3219.jpg,443,665,381,165,389,174,0,0.50290895,0.497091
335,3219.jpg,443,665,371,136,376,142,0,0.46113995,0.5388601
336,3219.jpg,443,665,472,177,482,188,0,0.8094429,0.19055712
337,3219.jpg,443,665,485,188,497,204,0,0.23288628,0.76711375
338,3219.jpg,443,665,0,193,9,206,0,0.67751575,0.32248428
339,876.jpg,292,600,461,168,474,184,0,0.5150427,0.48495725
340,876.jpg,292,600,536,155,550,174,0,0.49771288,0.5022871
341,876.jpg,292,600,67,197,82,215,0,0.9131579,0.0868421
342,876.jpg,292,600,75,178,87,192,0,0.7779529,0.2220471
343,876.jpg,292,600,215,207,229,228,0,0.98148835,0.018511651
344,876.jpg,292,600,109,152,114,159,0,0.41352245,0.5864776
345,1344.jpg,315,700,189,57,227,104,0,0.9990575,0.00094253116
346,1344.jpg,315,700,402,60,428,96,0,0.99990654,9.347622e-05
347,1344.jpg,315,700,30,84,45,102,0,0.05202129,0.94797873
348,2855.jpg,410,615,345,124,374,163,0,0.9960252,0.0039747553
349,2855.jpg,410,615,521,126,550,163,0,0.747756,0.25224406
350,2855.jpg,410,615,243,122,269,156,0,0.18510546,0.8148945
351,2855.jpg,410,615,68,116,97,164,0,0.9976629,0.002337083
352,2855.jpg,410,615,204,117,225,144,0,0.9710815,0.028918542
353,2855.jpg,410,615,566,139,591,180,0,0.68093646,0.31906354
354,1340.jpg,576,1024,297,149,406,287,0,0.9999958,4.180464e-06
355,1340.jpg,576,1024,837,135,890,190,0,0.06894042,0.93105954
356,1340.jpg,576,1024,1001,63,1024,95,0,0.70610607,0.29389393
357,1340.jpg,576,1024,295,56,318,99,0,0.35938147,0.6406185
358,1340.jpg,576,1024,4,87,29,116,0,0.3620491,0.6379509
359,1869.jpg,812,1233,301,175,371,275,0,0.9999366,6.335758e-05
360,1869.jpg,812,1233,729,182,789,256,0,0.99991274,8.730522e-05
361,1869.jpg,812,1233,853,137,924,234,0,0.9985905,0.0014094898
362,1869.jpg,812,1233,1031,175,1101,252,0,0.9999958,4.1902513e-06
363,1869.jpg,812,1233,457,264,513,344,0,0.9998714,0.00012855924
364,1869.jpg,812,1233,609,219,668,294,0,0.9999982,1.7307855e-06
365,1869.jpg,812,1233,425,206,479,270,0,0.9993868,0.0006132015
366,1869.jpg,812,1233,667,280,706,323,0,0.9954917,0.004508348
367,1869.jpg,812,1233,1108,115,1159,235,0,0.9990544,0.0009456308
368,2283.jpg,372,512,382,95,416,133,0,0.9998393,0.00016072212
369,2283.jpg,372,512,103,121,116,138,0,0.71122134,0.2887787
370,2283.jpg,372,512,67,114,79,131,0,0.95640117,0.043598894
371,2283.jpg,372,512,149,120,159,138,0,0.9386876,0.061312363
372,2283.jpg,372,512,227,109,240,134,0,0.824638,0.17536195
373,2900.jpg,522,792,629,192,663,238,0,0.3792808,0.6207192
374,2900.jpg,522,792,611,167,631,191,0,0.8031514,0.19684856
375,2900.jpg,522,792,87,146,135,234,0,0.99993956,6.0486098e-05
376,2900.jpg,522,792,714,169,735,196,0,0.9776013,0.022398721
377,2900.jpg,522,792,560,180,577,206,0,0.83398485,0.16601521
378,3079.jpg,700,1400,955,230,998,272,0,0.20018072,0.79981923
379,3079.jpg,700,1400,693,181,727,219,0,0.0012152675,0.9987847
380,4.jpg,426,640,425,161,463,198,0,0.7532528,0.2467472
381,4.jpg,426,640,164,63,203,154,0,0.9955947,0.0044053695
382,2942.jpg,375,600,533,185,565,213,0,0.299228,0.700772
383,2942.jpg,375,600,125,205,153,248,0,0.9133592,0.08664076
384,2942.jpg,375,600,364,172,381,191,0,0.98022056,0.019779412
385,2942.jpg,375,600,474,121,483,133,0,0.90309304,0.09690698
386,2942.jpg,375,600,538,118,549,129,0,0.53505695,0.46494308
387,2942.jpg,375,600,15,143,22,156,0,0.5859718,0.4140282
388,2942.jpg,375,600,371,98,375,105,0,0.6986258,0.30137426
389,2942.jpg,375,600,37,146,51,165,0,0.06393451,0.9360655
390,2886.jpg,830,800,193,170,320,331,0,0.99998426,1.5719173e-05
391,2886.jpg,830,800,477,138,532,207,0,0.99999034,9.644066e-06
392,2886.jpg,830,800,324,222,388,292,0,0.9997085,0.0002914984
